Name|Dark Ship+
Author|Precipitator
Difficulty|4
Description|Fiend has stepped it up a level, not only removing fuses installed in the ship, but also filling any unpowered areas with dangerous purple smoke. Make sure sure hold your breath and power through!
Version|7.0
Setting|Custom Value
Number of Random Monsters|0
Number of Fiends|1
Dark Ship|True
Powerable Lights|True
Smoky Ship|True
Pre-fill Start Region Fuse Box|False
Pre-fill Liferaft Fuse Box|False
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
