Name|Salochki v5
Author|Ink
Difficulty|6
Description|There's no time to explain!\nLight up 14 special glowsticks to escape from 1 stealthy Brute!
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|1
Maximum Monster Spawntime (seconds)|1
Persistent Monster|True
Seer Monster|True
Silent Monster|True
Monster Animation Speed Multiplier|1.1
Monster Movement Speed Multiplier|1.1
Monster Rotation Speed Multiplier|2.2
Glowstick Hunt|True
Special Glowsticks Required|14
Special Glowsticks To Create|24
No Time Freeze In Pause Menu|True
No Hiding|True
Disable Liferaft|True
Disable Helicopter|True
Disable Submersible|True
Inventory Size|2
Player Movement Speed Multiplier|1.125
Infinite Flashlight Power|True
Use Deck Four On Submersible Side|True
Lengthened Cargo Hold Corridors|True
Add Lower Deck Next To Engine Room|True
Number Of Corridors To Cargo Hold From New Lower Deck|2
Diverse Item Spawns|True
Spawn Items Anywhere|True
No Doors|True
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
Do Not Pre-Render Monsters|True
Do Not Render Brute's Light|True
Custom Music Pack|3
