Name|Breach I
Author|Ink
Difficulty|6
Description|Welcome to the most secure marine prison. Collect 4 energy keys and sabotage the prison to escape before you get caught. Your main enemies are 1 armed guard and 5 security robots.\n"It looks like the door system is completely out of order..."
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|5
Number of Fiends|1
Maximum Monster Spawntime (seconds)|15
Monster Animation Speed Multiplier|1.25
Monster Movement Speed Multiplier|1.25
Monster Rotation Speed Multiplier|1.25
Custom Monster Scale|1.15
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|-500
Brute Chase Speed Buff Rate|500
Fiend Flicker Minimum Range|-1
Fiend Flicker Medium Range|-1
Fiend Flicker Maximum Range|-1
Fiend Mind Attack Attack Timer Charge Rate|7.5
Fiend Mind Attack Attack Timer Decay Rate|2.5
Fiend Mind Attack Delay Timer Rate|1.5
Glowstick Hunt|True
No Glowstick Hunt Finale|True
Special Glowsticks Required|4
Special Glowsticks To Create|16
Overpowered Hiding Spots|True
Disable Liferaft|True
Disable Helicopter|True
Disable Submersible|True
Escape Conditions|1
Infinite Flashlight Power|True
Starter Room Region|Upper Deck
Overpowered Steam Vents|True
No Doors|True
Add Lower Deck Next To Engine Room|True
Brute Light Colour Red Component|175
Brute Light Colour Green Component|175
Brute Light Colour Blue Component|175
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Ship Generic Lights Colour Red Component|255
Ship Generic Lights Colour Green Component|255
Ship Generic Lights Colour Blue Component|255
Ship Generic Lights Intensity Multiplier|1.125
Custom Music Pack|2
Use Wander Theme From Start|True
