Name|Insane Fiend
Author|Ink
Difficulty|6
Description|A much stronger version of the Fiend. Insanely dangerous mind attack and significantly reduced interference radius.
Version|7.0
Setting|Custom Value
Number of Random Monsters|0
Number of Fiends|1
Maximum Monster Spawntime (seconds)|30
Fiend Vision Cone Angle|180
Monster Animation Speed Multiplier|1.5
Monster Movement Speed Multiplier|1.5
Monster Rotation Speed Multiplier|1.5
Fiend Flicker Minimum Range|2
Fiend Flicker Medium Range|3
Fiend Flicker Maximum Range|4
Fiend Mind Attack Damage Multiplier|3
Fiend Mind Attack Attack Timer Charge Rate|5
Fiend Mind Attack Attack Timer Decay Rate|0.25
Fiend Mind Attack Delay Timer Rate|5
Camera Timer|1
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
