Name|Reincarnation
Author|Ink
Difficulty|8
Description|Excellent training for the "Annihilation" challenge. You have the same settings but 3 lives to practise with.
Version|6.0
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|1
Monster Animation Speed Multiplier|3
Monster Movement Speed Multiplier|3
Monster Rotation Speed Multiplier|3
Brute Chase Speed Buff|True
Brute Chase Speed Buff Multiplier|3
Apply Chase Speed Buff To All Monsters|True
Extra Lives|3
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
