Name|Extreme Fiend
Author|Ink
Difficulty|8
Description|An overpowered version of the Fiend. "The IQ of this specimen was significantly increased, resulting in an extreme enhancement of its abilities, making further research of the specimen impossible using current methods and means."
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Fiends|1
Maximum Monster Spawntime (seconds)|15
Monster Animation Speed Multiplier|1.75
Monster Movement Speed Multiplier|1.75
Monster Rotation Speed Multiplier|1.75
Fiend Flicker Minimum Range|2
Fiend Flicker Medium Range|2.025
Fiend Flicker Maximum Range|2.05
Fiend Mind Attack Damage Multiplier|100
Fiend Mind Attack Attack Timer Charge Rate|10
Fiend Mind Attack Attack Timer Decay Rate|0
Fiend Door Teleportation|True
Helicopter Fuel Time|9
Submersible Charge Time|12
Camera Timer|0
Pre-fill Liferaft Fuse Box|False
No Starter Fuse|True
Brute Light Colour Red Component|250
Brute Light Colour Green Component|175
Brute Light Colour Blue Component|50
Brute Light Intensity Multiplier|2.25
Brute Light Range Multiplier|1.5
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
